unique_input_record_identifier	input_title	input_writers	input_performers
0d3ImMdHx7UmvJVBVmW4i3	Jekyll & Hyde	Alexia Coley,Jon Gillies	Alexia Coley
3tsbgQZTLFydy5eS2e4nJL	Tibetan Singing Bowls	Giordano Trivellato,Giuliano Sacchetto	Healing Boy
16LZkrK0TzZF1IVnDpUiDQ	Medizinmann	Dominik StÃ¶tzler	Monkeybrain
15vTpRGUFjSVWZQO1MRoHj	Keyboard Suite No. 8 in F Minor, HWV 433: III. Allemande	George Frideric Handel	Philip Edward Fisher
724f2sZLra6E3TEqjxJFlj	Jackie Jackie (Spend This Winter With Me)	J. AgebjÃ¶rn,R. Gunnarsson	Sally Shapiro
2pg8RhWlcDkcqlarzDx7tR	Short Short Twist	Jones	The Royal Teens
1Wi3AiNTEtIP1rco1GlTUI	Silhouette	No Concept	No Concept
613IMoqeB0yxuZEcAGssCw	Woman's World	Aaron Sledge,Ayaamii Sledge,Brian Sledge,Calvin Frazier,Cornelio Austin,David Haddon,Jarius Mozee,Joe Syring,Rumeal Eggleston	BJ The Chicago Kid
1yGMy97bxor9IZ9nY5Draq	Apneia	Patricia laus Mattos	Blancah
0UnXzesrwrJ1kx3BqVLc0d	BondiÃ©	Christine Salem	Christine Salem
5CUFE1kLTULZ6GvB6hxWRm	Ghetto Starz	B. Sandlin,Denzil Miller,Fred Scruggs,James B. Moore,Kurt Walker,Lawrence Smith,R. Rogers,Robert Arthur Ford Jr.,S. Anderson,Sticky Fingaz,T. Kelly,Tyrone Taylor	Onyx
6ntvzf9Nphr6qQNV9M77y7	Do My Thing	Jacob Stiernspetz,Robert Milo	Rob & Jack
7lM1UzajLd21s1ZuRfpGgA	Break Up To Make Up	Kenneth Gamble,Linda Creed,Thom Bell	The Stylistics
4uczldHoOcXmCbyn9K9Z79	Il santo morto	Dario Brunori	Brunori Sas
5k2N84tO7V39kmWqMBku1T	Singing Om	George Harrison	George Harrison
3yd7CJI7dBtYEu76OrVBO4	Vapen till dom hopplÃ¶sa	Robert Hurula	Hurula
55gN8z0E6r6AAQT1rDJKmO	N'importe quel gars	Julie AubÃ©,Katrine NoÃ«l,Vivianne Roy	Les Hay Babies
4B3W3U9Z3PAx1gUhiQYaIP	Romeo And Juliet (Love Theme)	Nino Rota,Parti Siae	David Osborne
6JQRfYsQ4gECXZaIq9XflL	Rain Over Kilimantscharo	Steve Mandy	Daniela de Santos
66BTx0xlzyEVhYSbWv4VW3	Ain't Got Time	Roselle Weaver,Roy Ayers	Roy Ayers Ubiquity
2sReONNP28tO7YY7PAsTB9	Bad Spirits (Bani)	Dee Dee Bridgewater,KassÃ©-Mady DiabatÃ©	Dee Dee Bridgewater
2WtdEW2JY3zh4lJexJRDTs	Velle	Desi Crew,Kala Nizampuri	Lakhwinder Wadali
6g83TC6HMgsFYvAQhphYKc	Tooth Fairy	Peter von Poehl	Peter von Poehl
3FH8uxzN56uIBvrejurzCi	"Deivangal Ingae (From ""Anegan"")"	Harris Jayaraj,Kabilan	Harris Jayaraj,Sriram Parthasarathy
7uzwzePqx93sDauRFC8pBu	The Lake Wobegon Hymn	Garrison Keillor	Garrison Keillor
74CVaqpAlFgkSCNQrkz65f	Surfin' Safari	Brian Wilson,Mike Love	Jan & Dean
7F0NriJNf3d0MN1qu9dzZt	It Must Have Been Love	Per Gessle	Mark Masri
68CS9l3vBPG0tsAeVjSV44	Little Deuce Coupe (Mono)	Brian Wilson,Roger Christian	The Beach Boys
4RhekQNNxA2yAqkKhydaQo	Wonderful Maker	Chris Tomlin,Matt Redman	Chris Tomlin
3lfTxWNetunmGfEBvGE1K9	Lovechild	Baumgartner,Lahr,Pranyko	De-Phazz
5SzqVRrSXbPeUGT5pUjsUo	He Will Break Your Heart	Jerry Butler	Jerry Butler
0ZfLFldhoCYY5McK1ZyLVN	Stand On It	Bruce Springsteen	Mel McDaniel
6uzLsVw7NSneF0LAM3onNz	Slipstream	C Shakespeare,G Porter	Sherbet
54ijM3PLfwmflMzL3gTXMe	please don't give up on me	Olli Suominen	olli
6Xlvt1plyWi2XtgwMuVjRT	In Boxes	Aurora Aksnes,Edvard FÃ¸rre Erfjord,Henrik Barman Michelsen	AURORA
36GlqLI1HidbyM2MejigCz	Be Around	Michal Martyniuk	After 'Ours
4opHu54LNM02cZBJdrTlrD	Brooklyn Love	Kronlund,Robinson	Anna Brooks,Brooklyn Funk Essentials,Desmond Foster
5jgHQfMXmSu4hx8bXxKW0n	You'll Be In My Heart	Phil Collins	Celtic Woman
0E1JWnV8GQBKP6ASutH49L	Summer Breeze	Gunter Gerl,Vincenzo Ragone	Vincenzo
0hFwmmJgNa3dPF4t9bmlRb	Shuckin' Sugar	Jefferson	Wizz Jones
5nAsQUkBZpPXUByLBune0f	Finis les	Alonzo,Benjamin Costecalde	Alonzo
2ZHuQYIi971HfdtVikOVVP	I'm So Hot for You	B. Orlando	Bobby O
7lEJ8WNvXX11pS5vVZHnFI	Seksa	Saari Amri	Datuk Sharifah Aini
22f7qyXI4Ra0ypejTl3h3h	Cruise Control	Andrew Godwin,Corbray Sean,Derrick Wadsworth,Jason Linquist,Mark Garza	Embodyment
6SvpYxDBNdGpMescXqPRML	Un Uomo Diverso	Alessandro Ciuffetti,Francesco De Benedittis,Francesco GazzÃ¨,Max GazzÃ©	Max GazzÃ©
5g2FD6C9187XBxyUkIPXI6	Move to Bremerton	Michael Arthur Herrera	MxPx
4j0RSHgte6Q37dET4402zl	Dirt Bike	John Flansburgh,John Linnell,Wilbur Pauley	They Might Be Giants
5AtWnHvZLuOIJGLi7vd6N9	Making Love Out Of Nothing At All	Jim Steinman	Andrew Polec,Christina Bennington
59yBszMHZVBwpmoATwLYlk	I Wonder (Live 1961)	Pvt. Cecil Gant,Roosevelt Sykes	Ray Charles
05dwNAqhI33dDdl6O1HXKj	M'innamoro di te	Dario Farina	Ricchi E Poveri
1UYfeo5RWoJqToShNR7z90	Everything To Me	Jacob Hemphill	SOJA
5xpCvHcPwM6vRKgnZoCMM0	My Little Suede Shoes	Charlie Parker	J.J. Johnson
65QSX3J0dpedyim10KFcqD	Ein paar Runden	Kurt EbelhÃ¤user,Sascha Madsen,Sebastian Madsen	Madsen
7olpGfJNBUY2FMfEgKkRL9	Renaissance	Toni Mudrack	Teesy
0R98xUB64hLacrTOhLtdJ0	Renegade	Gary Richards	Destructo
3tteVlYj7b3DtrRIeKXwIX	We Rise Again	Eugene Hutz,Eugene Hutz,Michael Ward,Oliver Charles,Pedro Erazo-Segovia,Sergey Ryabtsev,Thomas Gobena,Yury Lemeshev	Gogol Bordello
0bcJNyPGEqSJ26jdD1QFGF	Mercy Tree	Krissy Nordhoff,Michael Neale	Lacey Sturm
1NsbdxXsMS3m8Q79P6GWLo	...calling	Nonchalant Savant	Nonchalant Savant
5zM3K85G6XQ1NWTiMB37Zv	Choose That One	James Shearman,Patrick Doyle	Patrick Doyle
5Unqje8E2DNjcSD0VKJvYu	I Love You So Much	F. Washington,Leonard Caston,Sugar Pie DeSanto	Sugar Pie DeSanto
3LkiH06MgIdAeWQyF5LMzH	Bro, bro breja	Tomas Blank,Traditionell	GÃ¶teborgs Symfonietta,Tomas Blank
2eK4surM0e3FMluNE9hqMR	Anonymous	DJ Emerson	DJ Emerson
31HrK1wyC3VvptHdj9JXvB	Electric Blues / Old Fashioned Melody	Galt MacDermot,Gerome Ragni,Jim Rado,Tom Pierson	Galt MacDermot,Tom Pierson
2aLxKSzpkAZfNQ7cmrXiyj	Unconditional Love	Chris Cresswell,Jon Darbey,Paul Ramirez,Scott Brigham	The Flatliners
0zhkuIQ4345YbKjAmYkAr2	Chewin' Mi Mic	Bab Lee,El Kady,RAUX,erdeven,sevret,wauthier	Zenzile
4jpaa5BZdOtVgzKNyVxSM2	Sonnet for Stevie	Mark Turner	Baptiste Trotignon,Mark Turner
5I6d1gfpbEkJTewRNynxnQ	Onde o Nordeste Garoa	Onildo Almeida	Luiz Gonzaga
5wvV1kJoSILDqdOTSFmoKA	Moon Dust	Ilya Lipkin	The Re-Stoned
4Tzh40NrdibXC2Nb0gZ9Wl	Jackie	Gerard Jouannest,Jacques Brel,Mort Shuman	Scott Walker
1TSFiM4D3tyx6L7GD3c6Ph	Early Morning	TreeHouse 707	TreeHouse 707
41v7FqRpYIwdr65IGoQRbH	Beni Benimle BÄ±rak	Ibrahim Ferman Akgul,YaÄmur SarÄ±gÃ¼l	Ãmit Besen
2DuLCNjIszZ3g5B4XE8ONy	Surround Me with Your Love	Per A. Bertheussen,Per Martinsen,Svein Hansen	Blank & Jones
0MkayFomiiea3ngp05amTn	Vizine (Freestyle)	Bousmara Division NÂ°1	Bousmara Division NÂ°1
02fenXEY9TV3lKW33j5ipA	School's Out	A.Cooper,D.Dunaway,G.Buxton,M.Bruce,N.Smith	Buttmunch and The Great Cornholio
0S7kfXOe4pbR1Wrkby1hGz	Malacoda	Caspian	Caspian
78xYQbFUcYComSOzBpo3WT	Bimbo Satellite	Chris Joss	Chris Joss
7FvJQy0fu6b8nEWwcgcHT3	Old Norwegian Romance, Op. 51: I. Poco tranquillo	Edvard Grieg	Edvard Grieg,Philharmonia Orchestra
7zvElHJqPZY4CGc3tprlwR	Fish And Mice	Holly Throsby	Holly Throsby
5WWcjsrfnJI43r1ZJbpxqO	The Motorcade	Jerry Goldsmith	Jerry Goldsmith
4hkdtl3xpE5MGJajzRgiZA	Toccata II	Rolf Lislevand,Traditional	Rolf Lislevand Ensemble
08pZ47A3mehqQZ5htXkak7	Heavy Love (ASOT 818)	A. Rata,I. James,K. Sones,M. Vangeli	Andrew Rayel,Max Vangeli
3R4XTOBeXtSbcZ5ujSHmam	Give Me The Roses	A. P. Carter	Carlene Carter
5FIfrMB4XPezXNt1zobOwk	I Believe In (feat. Beta Bow)	Taelor Deitcher	Felix Cartal
1guyHT1SrCFHwfdCvZ8J2x	Introduction: Nothingness	Hayden Calnin	Hayden Calnin
0kRHPaomykhU8eKJjoTBfO	Red River	Guy Fixsen,Margaret Fiedler	Laika
5042gESl3wqaQVAdHglwVz	Taking A Chance On Love	John LaTouche,Ted Fetter,Vernon Duke	Matt Monro
7t3lzveOldcMW2OkM9756N	Selfie	Babbu Maan	Babbu Maan
55ohhJLbz4BTwZ6GzfdbMe	If I Needed You	Townes Van Zandt	Don Williams,Emmylou Harris
5jJYJthaXUdkHKmiS6TuXe	Distance (feat. Joey Bada$$, Issa Gold & Erick The Architect)	Erick Elliott,Jo-Vaughn Virginie,Marlon Fung,Powers Pleasant	Beast Coast,Flatbush Zombies,Joey Bada$$
06lGG2WrxIGUoMMQbR3O4Z	Nostradamus	Michael Ehninger,Thomas Spitzer	EAV
6Yy8nhChB5RxOHftjstcKG	Pashunfruit	Gustaf Isaacson	Guustavv
23RXgB6zTuxiW1GheO5b6t	Suite No. 2 in F Major: Prelude - Allemande - Courante - Bourree - Sarabande - Menuet I & II - Gigue	Silvius Leopold Weiss	Jakob Lindberg
5MGCxdfa80nbBGcqqQWygx	Under the Bridge	Anthony Kiedis,Balzary,Chad Smith,Frusciante,John Frusciante,Keidis,Keidis Balzary,King,McNair,Michael Balzary,Smith	All Saints
1LmkXSQbofMD4JEYqsmZcL	Silence	Michael Geoffrey Underwood	Moral Dilemma
7xLJpKCqPI1LRStBlvmsup	Tommy Bahama	Myles Parrish	Myles Parrish
6VFmgcvCbfgoS63SfrBlgg	You Did It, You Did It	Rahsaan Roland Kirk	Rahsaan Roland Kirk,Roland Kirk Quartet
5ZTgFaoPKdJZa7EvAXXYcy	Melkweg Bass	Liam Mclean	Joker
2fCJg4P5QlKNecepq5zo22	S'posin'	Paul Denniker	Nelson Riddle
4GMAyVjTpL9vgKd7aZJkSd	Indigo	Plusma	Plusma
5dOuPV9NHt5uWqxvhVbA0n	Bald Butte	Colter Wall	Colter Wall
1tpcdO2cqYuY0EsqvxZazE	La Violetera	Eduardo Montesinos,Jose Padilla Sanchez	Dalida
0BaUwLv2lSBwIwGTzjgIXR	Frank	Chris Matthews	Headless Chickens
2WyUzDQjzQfPMz1EGsjLw2	Operation New Me	Chris McKay,Jamil Kazmi,Jared Gutstadt,Jeff Peters,Taka Moriuchi	Jingle Punks
00qSzFGT8c6Om96MRK3uSt	Mama Raised Me	Calvin Broadus,Daryl Anderson,Percy Miller,Soulja Slim	Master P
745RHtUOB8KIetZUqQ4zEZ	Leave a Light On (feat. Tom Walker)	Steve Mac,Tom Walker	Red Hot Chilli Pipers
2dAiHAa3buEDWlj0uyBDBc	Donalina	Aviv Cohen	Sol Monk
5faqpitzDhJKv3huL8nJhp	Wetin We Gain	Victor AD	Victor AD
5pJ4txCueCm3vSLHp2tx3A	What You Do	Michael Brigante	Attonbitus
4OEpeTynFu4UgdkspM3WzC	Oboe Concerto in C Minor: Adagio	Georg Philipp Telemann	Sarah Francis
0XD8PIk6ZPrvuOZI8kZON0	Some Fun Now	Alan Menken,Howard Ashman	Michelle Weeks,Tichina Arnold,Tisha Campbell
5QlmJpzQ2SyTP54loicFyQ	Three Four	Ben Cullum,Karl Clive Gordon,Shaznay Lewis	All Saints
2XRyW3Kbd7ln1b78CJ0U5u	Offering	Ara Dinkjian	Ara Dinkjian
5NSxCIccne0LGgtEw5egrr	Crazy Beat	Fallin,Rhodes	Gene Vincent
1XoJocoi2Kz18kqFgZVWDN	Free My Way	Ian Brown	Ian Brown
7p1kmc8AVgYHKLxDnGIY2H	You Can't Outrun 'Em	Jenny Lewis	Jenny Lewis
6Oo0MdVI6g6732qbg8ad6x	Honeysuckle	Barry Dean,Hillary Lindsey,busbee	Carly Pearce
6P54hhvnaS5kM9nv5tHocS	Hard Headed Woman	Claude De Metrius	Elvis Presley
0kr4qhkSAiBEOvT1aoBcY6	Eenie Meenie	Michael Sembello,Raymond Pounds	Jeffrey Osborne
4Z9z2jL0LO1ikTYUZmBAtK	Besame Mucho	Skylar,VelÃ¡zquez	Francis Goya
50yv11h0Rm8BuSdFNTsX60	A Father of Very Little Brain	Bruce Fowler,David Slonaker,Ed Trybek,Edgardo Simone,Geoff Zanelli,Jennifer Hammond,Jon Brion,Kevin Kaska,Philip Klein,Rick Giovinazzo,Steve Bartek,Yvonne S. Moriarty	Geoff Zanelli,Jon Brion
5HgXSKXtmhbkwyw9T1s7dP	Love You For Life	Curtis D. Harmon,Eddie Baccus,Jr.,Michael (Antonio) Thornton	Pieces Of A Dream
7muB8MHe9LwtFybCLk043k	Quero Um Baby Seu	Luiz Carlos Siqueira,Paulo Zdanowski	Caetano Veloso
6suUkCbptTEFsUDGqfYrkC	Come Back Baby	Kate McGarrigle	Kate & Anna McGarrigle
6jOuqpHYidc4HpnRwr6nRr	Sonata no. 14 in G major: III. Andante cantabile	Giuseppe Tartini	Luigi De Filippi
0jwgNSJVOYiZwbhsnUfBPt	The Hand	Paula Frazer	Tarnation
788cpxNtwjpKlq6W4mgvDK	Unchained Melody	Alex North,Barry Manilow,Bill Ross,Hy Zaret,Walter Afanasieff	Barry Manilow
59qNxfwZVsasBB9qcPhmIM	Disseminate	Bill Leeb,Rhys Fulber	Front Line Assembly
3K6Qgi5BlNP9J3ZcotMZMG	Road Less Traveled	Kevin Yost	Kevin Yost
7gwtPl068Bd2kYGXwMNa64	Don't You Dream	Beresford Romeo,Charlotte Kelly	Soul II Soul
7FaYqYa8EBuDx84rFDO9vW	Long Live Our Love	Jerome Louis Jackson,Sidney Barnes	The Shangri-Las
1T3vZiFuqP0jeKYODA9cPW	Caliente	Andy Kaufhold,Jaspa Jones,Piet Blank	Blank & Jones
5YAjpn3NzhdXBxYL5cGy89	Hello	Richie	Francis Goya
57glJwCgaO15nGDw8L24tJ	El Mercado	Alex Rodriguez	Alex Rodriguez
2JrPYgybHbfNq1GLrAfubI	"Love Theme from ""The Godfather"""	Nino Rota	Andre Kostelanetz & His Orchestra
33HCg2N6H6ZSrzHq9lU0dN	Satanic Barbarism	Brian Malone,Eric Hersemann	Diabolic
52ctAVW37gpbNcVRJ6bT0A	Sirens	Gabe Dixon	Gabe Dixon
6zITIkNO0vAoEtvM9ZEFpM	Hanging Around	Gemma Hayes	Gemma Hayes
2nk5cDGgASFCSinFjphaYK	Salome	Andrew Lloyd Webber,Christopher Hampton,Don Black	Andrew Lloyd Webber,Kevin Anderson,Patti LuPone
4HDjs3LiKRVJsa9LW5tzTT	Sti Theoria	Christodoulos Siganos,Valentino	Panos Kiamos
6ZW4YoXdDsV6rc8clOBRn4	Marcha do Donzel	Ariano Suassuna,Renata Rosa	Renata Rosa
6nwK4MlCvxob5Yk3NuHDXx	To the Dawn	Henry Burton,Sara Groves	Sara Groves
5Ma5oifXhrs1lq56lV59hI	Whispers	Xavier Rudd	Xavier Rudd
0zxWRrstHxE3fYI5QleMxf	I Want You	Daniel Burke,Kaz Gamble,Marcello De Angelis	Birdee
1EhM3WRdenmzHQ3YUzAh0m	Juancho	Lucho Junco	Cabas
5CGzGHQydEhSQVOC3CW7Oh	Festival Crash	F. Corsten	Ferry Corsten
0RClguMsTbVPYKzY27TzyL	Espirais	Alexandre Lemos,Alexandre Silveira de Castilho	Marjorie Estiano
43qiUSR7w0b7NrjV0dm6b2	Superheld	Jakob Sinn,Johannes Strate,Kristoffer HÃ¼necke,Niels GrÃ¶tsch	Revolverheld
07WNFI1IZp7EXGOL2YyCzw	Slow Ruin	Sannhet	Sannhet
0OA2aD6f3nP17nZtx2udzh	Poor Boy	Ben Hayslip,Dallas Davidson,Rhett Akins,Tyler Farr	Tyler Farr
7xRPfG0cM9klqDigaRl9VP	Whiskey Ghost	Gary Nicholson,Tom Hambridge	Buddy Guy
4BEwHBh3V461UyBK2mGpq5	First Light	Dan Michaelson	Dan Michaelson
0jacpERIrAsZmr803d2Uk5	Anathema	David Arnold	David Arnold,Tori Amos
6ppg2EReeJMf4ntrwwIkWp	DANCE WITH ME NOW!	Michico,T.kura	E-girls
0ej4nOozKUrCOU7ysxNXLh	What's New	Bob Haggart,Johnny Burke	Lee Konitz
3vJuG3Uc9yUmB79azIEGDE	Last Night	Emma Anderson	Lush
48GzqZeI4CJLdxJ4o5WWMk	#thatPOWER	William Adams	Neil Edward
6RyCki6lEPqMMau369wPyW	Long on Love	Rory Lee and Tony O. Villanueva	The Derailers
637SM8vCqY6uNFvnLLEipf	Redwing	Anthony Banks	Tony Banks
7Ijlt1DIrpT3kEU2JaKa0f	Prayer for Travelling	Gabriel Jackson	St. Jacob's Chamber Choir
71piNzA61VqdBPbTmRPsYb	Albatross	P. Green	The Hero Guitar Maniacs
7GzI0Jk377Qpch8KtHvyKq	Sem Ti	Anselmo Ralph	Anselmo Ralph
0NdWmjRN9DUT7k7QpMMEYk	Thanu Vethikina	Gopi Sundar,Sirivennela Seetharama Sastry	Satya Yamini
6IF3S46wTRtaQimGtURfmM	Umpa Lumpa	Max Loderbauer,Tom Thiel	sun electric
6D0XmEAG67nJF3ygIVZCOO	Quickdraw	A Santilla,B Dexter,B Dochstader,G. Campbell	67 Special
3bRUvmYOZ8tqguEGWyVmYE	Mittelfinga hoch	Aaquil Brown,Robert Zemichiel,Samy Sorge	ASD
53jogSv23P6DFcOHcZrDs9	Save Me	Baker,Haner,Sanders,Seward,Sullivan	Avenged Sevenfold
55426eqWLGsLRzCHp0mlxA	Am I Right?	Andy Bell,Erasure,Vince Clarke	Erasure
6usHxH3iCQC3ETkIWG36Km	Disappear	Kay Hanley,Letters To Cleo	Letters To Cleo
70Vc2mCfevAjiM6O1vfGXR	Dipped In Ice	Aleicia Gibson,Chauncey Hollis Jr.,DiamontÃ© Harper,Dustin James Corbett,Gino Borri,Ryan Martinez	Saweetie
6Pbwhr9C4ddhsKLbnd6Ydg	Blue Fiddle	Paul Moravec	Cory Smythe,Hilary Hahn
3gW8N0jXhpnaw4R25UsRIL	Shake Your Money Maker	Elmore James	Elmore James
4IB3eXd1V1aCdJFYS7mU7T	Three Guesses	Linda Scott	Linda Scott
